"filename", "language", "TypeScript JSX", "MySQL SQL", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\route.ts", "TypeScript", 0, 0, 13, 0, 0, 4, 17
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\users\[userId]\route.ts", "TypeScript", 0, 0, 54, 0, 0, 2, 56
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\users\route.ts", "TypeScript", 0, 0, 50, 0, 0, 2, 52
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\vote\route.ts", "TypeScript", 0, 0, 15, 0, 8, 3, 26
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\api\voter\route.ts", "TypeScript", 0, 0, 11, 0, 0, 2, 13
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\app\globals.css", "CSS", 0, 0, 0, 68, 67, 12, 147
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\CandidatesList.tsx", "TypeScript JSX", 34, 0, 0, 0, 1, 3, 38
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ElectionCard.tsx", "TypeScript JSX", 53, 0, 0, 0, 3, 8, 64
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ModeToggleBtn.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 5, 41
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\SessionWrapper.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 2, 12
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\admin\adminNav.tsx", "TypeScript JSX", 34, 0, 0, 0, 14, 2, 50
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\admin\voterlist.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 4, 22
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\avatar.tsx", "TypeScript JSX", 18, 0, 0, 0, 1, 6, 25
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\navbar.tsx", "TypeScript JSX", 34, 0, 0, 0, 5, 3, 42
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\parallax.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 3, 13
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\theme-provider.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 3, 10
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\accordion.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 8, 58
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 127, 0, 0, 0, 0, 15, 142
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\avatar.tsx", "TypeScript JSX", 44, 0, 0, 0, 0, 7, 51
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\button.tsx", "TypeScript JSX", 52, 0, 0, 0, 0, 6, 58
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\card.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 9, 77
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\dialog.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 14, 123
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 187, 0, 0, 0, 0, 19, 206
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\input.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 5, 26
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\label.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 6, 27
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\menubar.tsx", "TypeScript JSX", 221, 0, 0, 0, 0, 20, 241
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 12, 129
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\scroll-area.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 6, 49
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\ui\table.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 11, 121
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\components\votePopup.tsx", "TypeScript JSX", 105, 0, 0, 0, 3, 14, 122
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\database\db.ts", "TypeScript", 0, 0, 20, 0, 26, 10, 56
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 2, 7
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\middleware.ts", "TypeScript", 0, 0, 2, 0, 0, 1, 3
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\schema\voters.sql", "MySQL SQL", 0, 0, 0, 0, 1, 0, 1
"c:\Users\mohit\Desktop\I\A.COLLEGE\Sem IV\DBMS\ballotic\src\schema\wards.sql", "MySQL SQL", 0, 0, 0, 0, 1, 0, 1
"Total", "-", 2430, 0, 438, 68, 280, 398, 3614
